key,exclusive_sec,inclusive_sec,count,avg_ms,exclusive_percent,algorithm,t_end,dt_frame,dt_sub,bodies
bvh.find_collision,27.308674700,27.308674700,32000,0.853396,55.8306,rk4,8.0,0.01,0.001,2
callback.on_frame,0.011059400,0.011059400,800,0.013824,0.0226,rk4,8.0,0.01,0.001,2
callback.on_substep,0.456862100,0.456862100,8000,0.057108,0.9340,rk4,8.0,0.01,0.001,2
detector.build_candidates,12.555142804,12.555142804,27757,0.452323,25.6681,rk4,8.0,0.01,0.001,2
detector.project_prev,6.371462708,6.371462708,32000,0.199108,13.0260,rk4,8.0,0.01,0.001,2
detector.query_manifold,0.329087792,47.427084204,32000,0.010284,0.6728,rk4,8.0,0.01,0.001,2
detector.reduce_manifold,0.862716200,0.862716200,27757,0.031081,1.7638,rk4,8.0,0.01,0.001,2
integrator.step_sub,0.533925506,48.445550200,8000,0.066741,1.0916,rk4,8.0,0.01,0.001,2
world.compute_forces,0.484540491,47.911624695,32000,0.015142,0.9906,rk4,8.0,0.01,0.001,2
TOTAL,48.913471700,191.350177011,,,100.00,rk4,8.0,0.01,0.001,2
